race,gender,age_group,county,total
Black,Female,10 to 14 years,Alameda,4380
Black,Female,15 to 17 years,Alameda,2028
Black,Female,18 and 19 years,Alameda,1574
Black,Female,20 to 24 years,Alameda,4772
Black,Female,25 to 29 years,Alameda,6483
Black,Female,30 to 34 years,Alameda,6540
Black,Female,35 to 44 years,Alameda,10549
Black,Female,45 to 54 years,Alameda,9778
Black,Female,5 to 9 years,Alameda,2491
Black,Female,55 to 64 years,Alameda,10427
Black,Female,65 to 74 years,Alameda,8965
Black,Female,75 to 84 years,Alameda,5034
Black,Female,85 years and over,Alameda,1854
Black,Female,Under 5 years,Alameda,3273
Black,Male,10 to 14 years,Alameda,2867
Black,Male,15 to 17 years,Alameda,3058
Black,Male,18 and 19 years,Alameda,1654
Black,Male,20 to 24 years,Alameda,4539
Black,Male,25 to 29 years,Alameda,5222
Black,Male,30 to 34 years,Alameda,6477
Black,Male,35 to 44 years,Alameda,10305
Black,Male,45 to 54 years,Alameda,10085
Black,Male,5 to 9 years,Alameda,4163
Black,Male,55 to 64 years,Alameda,10392
Black,Male,65 to 74 years,Alameda,7069
Black,Male,75 to 84 years,Alameda,3199
Black,Male,85 years and over,Alameda,1013
Black,Male,Under 5 years,Alameda,3992
Black,Other,Other,Alameda,152183
White,Female,10 to 14 years,Alameda,8925
White,Female,15 to 17 years,Alameda,6330
White,Female,18 and 19 years,Alameda,5088
White,Female,20 to 24 years,Alameda,11652
White,Female,25 to 29 years,Alameda,13584
White,Female,30 to 34 years,Alameda,17528
White,Female,35 to 44 years,Alameda,32947
White,Female,45 to 54 years,Alameda,31367
White,Female,5 to 9 years,Alameda,9007
White,Female,55 to 64 years,Alameda,33418
White,Female,65 to 74 years,Alameda,31398
White,Female,75 to 84 years,Alameda,19634
White,Female,85 years and over,Alameda,8872
White,Female,Under 5 years,Alameda,8945
White,Male,10 to 14 years,Alameda,9366
White,Male,15 to 17 years,Alameda,6016
White,Male,18 and 19 years,Alameda,4823
White,Male,20 to 24 years,Alameda,11850
White,Male,25 to 29 years,Alameda,13979
White,Male,30 to 34 years,Alameda,17691
White,Male,35 to 44 years,Alameda,36857
White,Male,45 to 54 years,Alameda,33669
White,Male,5 to 9 years,Alameda,8806
White,Male,55 to 64 years,Alameda,35584
White,Male,65 to 74 years,Alameda,28910
White,Male,75 to 84 years,Alameda,16646
White,Male,85 years and over,Alameda,4015
White,Male,Under 5 years,Alameda,9746
White,Other,Other,Alameda,476653
Asian,Female,10 to 14 years,Alameda,15557
Asian,Female,15 to 17 years,Alameda,7929
Asian,Female,18 and 19 years,Alameda,5465
Asian,Female,20 to 24 years,Alameda,12889
Asian,Female,25 to 29 years,Alameda,16922
Asian,Female,30 to 34 years,Alameda,26697
Asian,Female,35 to 44 years,Alameda,49200
Asian,Female,45 to 54 years,Alameda,40190
Asian,Female,5 to 9 years,Alameda,11477
Asian,Female,55 to 64 years,Alameda,33210
Asian,Female,65 to 74 years,Alameda,26939
Asian,Female,75 to 84 years,Alameda,15515
Asian,Female,85 years and over,Alameda,5285
Asian,Female,Under 5 years,Alameda,12303
Asian,Male,10 to 14 years,Alameda,16037
Asian,Male,15 to 17 years,Alameda,8894
Asian,Male,18 and 19 years,Alameda,5841
Asian,Male,20 to 24 years,Alameda,12715
Asian,Male,25 to 29 years,Alameda,16948
Asian,Male,30 to 34 years,Alameda,24386
Asian,Male,35 to 44 years,Alameda,48594
Asian,Male,45 to 54 years,Alameda,37291
Asian,Male,5 to 9 years,Alameda,14313
Asian,Male,55 to 64 years,Alameda,30081
Asian,Male,65 to 74 years,Alameda,23003
Asian,Male,75 to 84 years,Alameda,11369
Asian,Male,85 years and over,Alameda,3633
Asian,Male,Under 5 years,Alameda,11574
Asian,Other,Other,Alameda,544257
Latino,Female,10 to 14 years,Alameda,15185
Latino,Female,15 to 17 years,Alameda,9321
Latino,Female,18 and 19 years,Alameda,6478
Latino,Female,20 to 24 years,Alameda,14938
Latino,Female,25 to 29 years,Alameda,15288
Latino,Female,30 to 34 years,Alameda,15298
Latino,Female,35 to 44 years,Alameda,26860
Latino,Female,45 to 54 years,Alameda,24065
Latino,Female,5 to 9 years,Alameda,11654
Latino,Female,55 to 64 years,Alameda,18018
Latino,Female,65 to 74 years,Alameda,10594
Latino,Female,75 to 84 years,Alameda,5489
Latino,Female,85 years and over,Alameda,1898
Latino,Female,Under 5 years,Alameda,11759
Latino,Male,10 to 14 years,Alameda,15977
Latino,Male,15 to 17 years,Alameda,10046
Latino,Male,18 and 19 years,Alameda,6349
Latino,Male,20 to 24 years,Alameda,14898
Latino,Male,25 to 29 years,Alameda,15279
Latino,Male,30 to 34 years,Alameda,15990
Latino,Male,35 to 44 years,Alameda,29842
Latino,Male,45 to 54 years,Alameda,25496
Latino,Male,5 to 9 years,Alameda,11852
Latino,Male,55 to 64 years,Alameda,19290
Latino,Male,65 to 74 years,Alameda,9504
Latino,Male,75 to 84 years,Alameda,3538
Latino,Male,85 years and over,Alameda,1420
Latino,Male,Under 5 years,Alameda,12270
Latino,Other,Other,Alameda,378596
