race,gender,age_group,county,total
Black,Female,10 to 14 years,Marin,0
Black,Female,15 to 17 years,Marin,0
Black,Female,18 and 19 years,Marin,0
Black,Female,20 to 24 years,Marin,0
Black,Female,25 to 29 years,Marin,0
Black,Female,30 to 34 years,Marin,0
Black,Female,35 to 44 years,Marin,0
Black,Female,45 to 54 years,Marin,0
Black,Female,5 to 9 years,Marin,0
Black,Female,55 to 64 years,Marin,0
Black,Female,65 to 74 years,Marin,0
Black,Female,75 to 84 years,Marin,0
Black,Female,85 years and over,Marin,0
Black,Female,Under 5 years,Marin,0
Black,Male,10 to 14 years,Marin,0
Black,Male,15 to 17 years,Marin,0
Black,Male,18 and 19 years,Marin,0
Black,Male,20 to 24 years,Marin,0
Black,Male,25 to 29 years,Marin,0
Black,Male,30 to 34 years,Marin,0
Black,Male,35 to 44 years,Marin,0
Black,Male,45 to 54 years,Marin,0
Black,Male,5 to 9 years,Marin,0
Black,Male,55 to 64 years,Marin,0
Black,Male,65 to 74 years,Marin,0
Black,Male,75 to 84 years,Marin,0
Black,Male,85 years and over,Marin,0
Black,Male,Under 5 years,Marin,0
Black,Other,Other,Marin,0
White,Female,10 to 14 years,Marin,4241
White,Female,15 to 17 years,Marin,2755
White,Female,18 and 19 years,Marin,1481
White,Female,20 to 24 years,Marin,3342
White,Female,25 to 29 years,Marin,2512
White,Female,30 to 34 years,Marin,2949
White,Female,35 to 44 years,Marin,8598
White,Female,45 to 54 years,Marin,11791
White,Female,5 to 9 years,Marin,3191
White,Female,55 to 64 years,Marin,14301
White,Female,65 to 74 years,Marin,15377
White,Female,75 to 84 years,Marin,10649
White,Female,85 years and over,Marin,3528
White,Female,Under 5 years,Marin,2310
White,Male,10 to 14 years,Marin,4640
White,Male,15 to 17 years,Marin,3120
White,Male,18 and 19 years,Marin,1398
White,Male,20 to 24 years,Marin,3234
White,Male,25 to 29 years,Marin,2580
White,Male,30 to 34 years,Marin,3086
White,Male,35 to 44 years,Marin,9215
White,Male,45 to 54 years,Marin,11760
White,Male,5 to 9 years,Marin,2670
White,Male,55 to 64 years,Marin,13808
White,Male,65 to 74 years,Marin,13088
White,Male,75 to 84 years,Marin,9073
White,Male,85 years and over,Marin,2142
White,Male,Under 5 years,Marin,2567
White,Other,Other,Marin,169406
Asian,Female,10 to 14 years,Marin,210
Asian,Female,15 to 17 years,Marin,218
Asian,Female,18 and 19 years,Marin,305
Asian,Female,20 to 24 years,Marin,121
Asian,Female,25 to 29 years,Marin,572
Asian,Female,30 to 34 years,Marin,485
Asian,Female,35 to 44 years,Marin,1571
Asian,Female,45 to 54 years,Marin,1532
Asian,Female,5 to 9 years,Marin,162
Asian,Female,55 to 64 years,Marin,1723
Asian,Female,65 to 74 years,Marin,1785
Asian,Female,75 to 84 years,Marin,162
Asian,Female,85 years and over,Marin,111
Asian,Female,Under 5 years,Marin,106
Asian,Male,10 to 14 years,Marin,329
Asian,Male,15 to 17 years,Marin,0
Asian,Male,18 and 19 years,Marin,194
Asian,Male,20 to 24 years,Marin,295
Asian,Male,25 to 29 years,Marin,479
Asian,Male,30 to 34 years,Marin,359
Asian,Male,35 to 44 years,Marin,1578
Asian,Male,45 to 54 years,Marin,709
Asian,Male,5 to 9 years,Marin,413
Asian,Male,55 to 64 years,Marin,652
Asian,Male,65 to 74 years,Marin,781
Asian,Male,75 to 84 years,Marin,493
Asian,Male,85 years and over,Marin,0
Asian,Male,Under 5 years,Marin,582
Asian,Other,Other,Marin,15927
Latino,Female,10 to 14 years,Marin,1944
Latino,Female,15 to 17 years,Marin,1396
Latino,Female,18 and 19 years,Marin,1940
Latino,Female,20 to 24 years,Marin,856
Latino,Female,25 to 29 years,Marin,1430
Latino,Female,30 to 34 years,Marin,1263
Latino,Female,35 to 44 years,Marin,3013
Latino,Female,45 to 54 years,Marin,3435
Latino,Female,5 to 9 years,Marin,2263
Latino,Female,55 to 64 years,Marin,2443
Latino,Female,65 to 74 years,Marin,1510
Latino,Female,75 to 84 years,Marin,364
Latino,Female,85 years and over,Marin,464
Latino,Female,Under 5 years,Marin,1921
Latino,Male,10 to 14 years,Marin,2746
Latino,Male,15 to 17 years,Marin,1469
Latino,Male,18 and 19 years,Marin,684
Latino,Male,20 to 24 years,Marin,2491
Latino,Male,25 to 29 years,Marin,1455
Latino,Male,30 to 34 years,Marin,1556
Latino,Male,35 to 44 years,Marin,3820
Latino,Male,45 to 54 years,Marin,3806
Latino,Male,5 to 9 years,Marin,1416
Latino,Male,55 to 64 years,Marin,2459
Latino,Male,65 to 74 years,Marin,1278
Latino,Male,75 to 84 years,Marin,418
Latino,Male,85 years and over,Marin,40
Latino,Male,Under 5 years,Marin,2049
Latino,Other,Other,Marin,49929
