GEOID,NAME,variable,estimate,moe,origin_category,total_latino_population,percentage
06001,"Alameda County, California",B03001_003,378596,NA,Hispanic or Latino,378596,100
06001,"Alameda County, California",B03001_004,259291,10339,Mexican,378596,68.48751703663008
06001,"Alameda County, California",B03001_005,11570,2331,Puerto Rican,378596,3.0560280615748714
06001,"Alameda County, California",B03001_006,1871,895,Cuban,378596,0.49419433908440663
06001,"Alameda County, California",B03001_007,678,580,Dominican (Dominican Republic),378596,0.17908271614068821
06001,"Alameda County, California",B03001_009,607,615,Costa Rican,378596,0.16032921636784328
06001,"Alameda County, California",B03001_010,24515,6668,Guatemalan,378596,6.4752400976238524
06001,"Alameda County, California",B03001_011,6779,2811,Honduran,378596,1.7905630276072646
06001,"Alameda County, California",B03001_012,10229,4062,Nicaraguan,378596,2.701824636287758
06001,"Alameda County, California",B03001_013,1383,835,Panamanian,378596,0.36529704487104986
06001,"Alameda County, California",B03001_014,21130,4413,Salvadoran,378596,5.581147185918499
06001,"Alameda County, California",B03001_015,53,89,Other Central American,378596,0.013999091379729314
06001,"Alameda County, California",B03001_017,2508,1350,Argentinean,378596,0.6624475694407759
06001,"Alameda County, California",B03001_018,888,746,Bolivian,378596,0.2345508140603704
06001,"Alameda County, California",B03001_019,1078,587,Chilean,378596,0.2847362359877019
06001,"Alameda County, California",B03001_020,7387,2902,Colombian,378596,1.9511563777747254
06001,"Alameda County, California",B03001_021,953,506,Ecuadorian,378596,0.25171951103551016
06001,"Alameda County, California",B03001_022,50,81,Paraguayan,378596,0.013206689980876712
06001,"Alameda County, California",B03001_023,5075,2283,Peruvian,378596,1.3404790330589864
06001,"Alameda County, California",B03001_024,557,479,Uruguayan,378596,0.14712252638696657
06001,"Alameda County, California",B03001_025,2688,1172,Venezuelan,378596,0.709991653371932
06001,"Alameda County, California",B03001_026,0,221,Other South American,378596,0
06001,"Alameda County, California",B03001_028,6178,2586,Spaniard,378596,1.6318186140371265
06001,"Alameda County, California",B03001_029,6046,1684,Spanish,378596,1.596952952487612
06001,"Alameda County, California",B03001_030,0,221,Spanish American,378596,0
06001,"Alameda County, California",B03001_031,7082,1807,All other Hispanic or Latino,378596,1.8705955688913776
06013,"Contra Costa County, California",B03001_003,321243,NA,Hispanic or Latino,321243,100
06013,"Contra Costa County, California",B03001_004,193662,10820,Mexican,321243,60.285204658155976
06013,"Contra Costa County, California",B03001_005,8656,3267,Puerto Rican,321243,2.694533421739929
06013,"Contra Costa County, California",B03001_006,1689,738,Cuban,321243,0.5257702113353443
06013,"Contra Costa County, California",B03001_007,508,605,Dominican (Dominican Republic),321243,0.15813574147919177
06013,"Contra Costa County, California",B03001_009,1063,639,Costa Rican,321243,0.3309021519535056
06013,"Contra Costa County, California",B03001_010,16906,5032,Guatemalan,321243,5.2626827666283775
06013,"Contra Costa County, California",B03001_011,2564,1901,Honduran,321243,0.7981496873083616
06013,"Contra Costa County, California",B03001_012,16703,4788,Nicaraguan,321243,5.199490728202639
06013,"Contra Costa County, California",B03001_013,813,598,Panamanian,321243,0.2530794445326435
