"county","age_category","status","total","percentage"
"Alameda","18 or Older","Foreign-born, Naturalized U.S. citizen ",48056,17.1303095547032
"Alameda","18 or Older","Foreign-born, Not a U.S. citizen",88222,31.4481057419474
"Alameda","18 or Older","Native",144254,51.4215847033494
"Alameda","Under 18","Foreign-born, Naturalized U.S. citizen ",2182,2.2250775004079
"Alameda","Under 18","Foreign-born, Not a U.S. citizen",7600,7.75004078968837
"Alameda","Under 18","Native",88282,90.0248817099037
"Contra Costa","18 or Older","Foreign-born, Naturalized U.S. citizen ",46766,20.3698864032337
"Contra Costa","18 or Older","Foreign-born, Not a U.S. citizen",74624,32.5040072478918
"Contra Costa","18 or Older","Native",108194,47.1261063488745
"Contra Costa","Under 18","Foreign-born, Naturalized U.S. citizen ",2200,2.40020074406223
"Contra Costa","Under 18","Foreign-born, Not a U.S. citizen",6766,7.38170828832957
"Contra Costa","Under 18","Native",82693,90.2180909676082
"Marin","18 or Older","Foreign-born, Naturalized U.S. citizen ",5950,17.1346292296616
"Marin","18 or Older","Foreign-born, Not a U.S. citizen",12950,37.2930165586753
"Marin","18 or Older","Native",15825,45.5723542116631
"Marin","Under 18","Foreign-born, Naturalized U.S. citizen ",0,0
"Marin","Under 18","Foreign-born, Not a U.S. citizen",795,5.22888713496448
"Marin","Under 18","Native",14409,94.7711128650355
"San Francisco","18 or Older","Foreign-born, Naturalized U.S. citizen ",19887,18.8695536663124
"San Francisco","18 or Older","Foreign-born, Not a U.S. citizen",28416,26.9621982693184
"San Francisco","18 or Older","Native",57089,54.1682480643692
"San Francisco","Under 18","Foreign-born, Naturalized U.S. citizen ",234,0.863532364012104
"San Francisco","Under 18","Foreign-born, Not a U.S. citizen",2129,7.85666838881098
"San Francisco","Under 18","Native",24735,91.2797992471769
"San Mateo","18 or Older","Foreign-born, Naturalized U.S. citizen ",28108,20.646090111795
"San Mateo","18 or Older","Foreign-born, Not a U.S. citizen",44671,32.812063874484
"San Mateo","18 or Older","Native",63363,46.541846013721
"San Mateo","Under 18","Foreign-born, Naturalized U.S. citizen ",711,1.60543726149886
"San Mateo","Under 18","Foreign-born, Not a U.S. citizen",3400,7.67719646848963
"San Mateo","Under 18","Native",40176,90.7173662700115
"Combined Counties","18 or Older","Foreign-born, Naturalized U.S. citizen ",148767,18.9180734382451
"Combined Counties","18 or Older","Foreign-born, Not a U.S. citizen",248883,31.6494039103481
"Combined Counties","18 or Older","Native",388725,49.4325226514068
"Combined Counties","Under 18","Foreign-born, Naturalized U.S. citizen ",5327,1.92789310634355
"Combined Counties","Under 18","Foreign-born, Not a U.S. citizen",20690,7.48791221517705
"Combined Counties","Under 18","Native",250295,90.5841946784794
